plot,counter,date,individual,treatment,species,climate,height,capsule size,seedcapsule,seed_count,status,viable,sample,status_paperbag,organzabag_size,first seedcap,herbivory,comment,entered,labmeeting,,
1_1,Garp,02.09.2019,C4,control,Dia_car,ambient,11.5,0.9,5,44,ripe_capsule,40,single,open,,,0,,4122,,,
1_1,Garp,02.09.2019,C4,control,Dia_car,ambient,11.5,0.9,4,40,ripe_capsule,36,single,open,,,0,,4123,,,
1_1,Garp,02.09.2019,C4,control,Dia_car,ambient,11.5,0.9,3,60,ripe_capsule,58,single,open,,,0,,4124,,,
1_1,Garp,02.09.2019,C4,control,Dia_car,ambient,9.5,1.1,6,87,ripe_capsule,55,single,open,,,0,,4121,,,
1_1,Martin,02.09.2019,C4,control,Dia_car,ambient,12,1,1,4,open,0,single,open,,,1,Herbivory,2856,,,
1_1,Martin,04.09.2019,C4,control,Dia_car,ambient,12,0.8,3,1,open,0,single,open,,,0,"dry, unripe, empty",2839,,,
3_4,Martin,12.09.2019,C1,control,Dia_car,ambient,13.5,1.2,4,55,ripe_capsule,38,single,open,,,0,,133,,,
1_1,Martin,04.09.2019,C4,control,Dia_car,ambient,13,0.7,2,8,unripe,0,single,open,,,1,"Herby, white",2840,,,
1_1,Martin,04.09.2019,C4,control,Dia_car,ambient,9.5,0.9,1,43,unripe,42,single,open,,,0,"measured in field: 1, yellow collected way to early",2838,,,
1_1,Martin,07.11.2019,C4,control,Dia_car,ambient,9,,1,,open,,single,open,,,1,Herbivory,2870,,,
1_1,Andreas,08.08.2019,C2,control,Dia_car,ambient,19.5,1.7,1,69,ripe_capsule,53,,open,,,0,,,,,
1_1,Andreas,09.08.2019,C2,control,Dia_car,ambient,15,1.2,15,63,ripe_capsule,21,,open,,,0,,,,,
1_1,Andreas,08.08.2019,C4,control,Dia_car,ambient,9,1.1,1,74,unripe,63,,open,,,0,,,,,
1_1,Andreas,08.08.2019,C4,control,Dia_car,ambient,9,1.3,2,70,unripe,26,,open,,,0,,,,,
1_1,Andreas,09.08.2019,C2,control,Dia_car,ambient,18,1.4,6,52,ripe_capsule,39,,open,,,0,11 unripe smaller,,,,
3_4,Christian,12.09.2019,C1,control,Dia_car,ambient,19,0.8,1,76,ripe_capsule,28,single,open,,,0,,865,,,
3_4,Christian,12.09.2019,C1,control,Dia_car,ambient,14,1,3,94,ripe_capsule,21,single,open,,,0,,734,,,
3_4,Christian,12.09.2019,C1,control,Dia_car,ambient,19,1,2,87,ripe_capsule,44,single,open,,,0,,866,,,
4_4,Christian,12.08.2019,C1,control,Dia_car,future,10,1.2,1,60,ripe_capsule,11,single,open,,,0,,744,,,
1_1,Garp,17.10.2019,C4,control,Dia_car,ambient,12,,4,0,herbiv,0,single,herbiv,,,1,herbivory,3193,,,
1_1,Garp,17.10.2019,C4,control,Dia_car,ambient,8,0.4,2,47,unripe,0,single,open,,,0,,3194,,,
1_1,Garp,17.10.2019,C4,control,Dia_car,ambient,7.5,0.4,1,64,unripe,0,single,open,,,0,,3196,,,
1_1,Garp,17.10.2019,C4,control,Dia_car,ambient,8,0.4,3,47,unripe,0,single,unripe,,,0,,3197,,,
1_1,Garp,17.10.2019,C4,control,Dia_car,ambient,5.5,0.5,5,75,unripe,0,single,open,,,0,,3195,,,
1_1,Julia,20.08.2019,C4,control,Dia_car,ambient,12.5,1.1,1,6,open,0,single,open,,,0,,2073,,,
1_1,Julia,20.08.2019,C4,control,Dia_car,ambient,9,1.2,2,6,open,0,single,open,,,0,no seed cap,2074,,,
1_1,Julia,20.08.2019,C4,control,Dia_car,ambient,9,1.2,3,16,open,5,single,open,,,0,,2075,,,
2_5,Julia,22.08.2019,C1,control,Dia_car,future,11,1.6,4,83,ripe_capsule,55,single,open,,,0,,2230,,,
1_1,Julia,20.08.2019,C4,control,Dia_car,ambient,11,0.6,7,0,unripe,0,single,unripe,,,0,no seed cap,2082,,,
1_1,Julia,20.08.2019,C4,control,Dia_car,ambient,13,1.1,4,5,unripe,0,single,open,,,0,no seed cap,2076,,,
1_1,Julia,20.08.2019,C4,control,Dia_car,ambient,15,1.1,9,16,unripe,9,single,unripe,,,0,seeds still light brown,2078,,,
1_1,Julia,20.08.2019,C4,control,Dia_car,ambient,6,1.1,11,15,unripe,0,single,unripe,,,0,,2081,,,
1_1,Julia,20.08.2019,C4,control,Dia_car,ambient,11,1.1,5,6,unripe,0,single,unripe,,,0,no seed cap,2083,,,
1_1,Julia,20.08.2019,C4,control,Dia_car,ambient,11,1.2,11,0,unripe,0,single,unripe,,,0,no seed cap,2077,,,
1_1,Julia,20.08.2019,C4,control,Dia_car,ambient,11,1.2,8,63,unripe,51,single,ripe,,,0,seeds still light brown,2080,,,
1_1,Garp,24.09.2019,C4,control,Dia_car,ambient,14,,1,0,herbiv,0,single,herbiv,,,1,herbivory,3236,,,
1_1,Julia,26.08.2019,C4,control,Dia_car,ambient,15,1,8,53,open,28,single,open,,,0,,2973,,,
1_1,Julia,26.08.2019,C4,control,Dia_car,ambient,14,1.2,1,54,unripe,50,single,open,,,0,,2974,,,
3_4,Julia,29.10.2019,C1,control,Dia_car,ambient,21,1.3,1,74,ripe_capsule,34,single,open,,,0,,2785,,,
1_1,Martin,29.10.2019,C4,control,Dia_car,ambient,8.5,0.8,1,30,unripe,7,single,open,,,0,,380,,,
1_1,Valentin,01.10.2019,S1,supplement,Dia_car,ambient,14.5,,1,36,open,3,single,open,,,0,,1521,1,,
1_1,Garp,02.09.2019,S1,supplement,Dia_car,ambient,12,1.1,1,69,ripe_capsule,44,single,open,,,0,,4100,,,
1_1,Garp,18.09.2019,S1,supplement,Dia_car,ambient,13.5,1.1,1,0,dry,0,single,dry,,,1,herbivory,3435,,,
1_1,Martin,18.09.2019,S1,supplement,Dia_car,ambient,14.5,,2,0,unripe,0,single,unripe,,,1,Herbivory,2862,,,
1_1,Garp,24.09.2019,S1,supplement,Dia_car,ambient,12,0.9,2,0,herbiv,0,single,herbiv,,,1,herbivory,3367,,,
1_1,Garp,24.09.2019,S1,supplement,Dia_car,ambient,,1,3,0,herbiv,0,single,herbiv,,,1,herbivory,3312,,,
1_1,Garp,24.09.2019,S1,supplement,Dia_car,ambient,14.5,,1,0,herbiv,0,single,herbiv,,,1,herbivory,3366,,,
1_1,Garp,24.09.2019,S1,supplement,Dia_car,ambient,10,,4,0,herbiv,0,single,herbiv,,,1,herbivory,3368,,,
1_1,Julia,26.08.2019,S1,supplement,Dia_car,ambient,6,0.9,5,50,open,9,single,open,,,0,,2985,,,
1_1,Julia,26.08.2019,S1,supplement,Dia_car,ambient,15.5,1.1,1,62,open,22,single,open,,,0,,2977,,,
4_4,Julia,20.08.2019,C1,control,Dia_car,future,11.5,1.4,2,70,ripe_capsule,30,single,open,,,0,,2213,,,
5_5,Julia,20.08.2019,C1,control,Dia_car,ambient,13.5,1.6,1,86,ripe_capsule,38,single,open,,,0,,2209,,,
1_1,Julia,26.08.2019,S1,supplement,Dia_car,ambient,8,1.2,3,67,unripe,24,single,open,,,0,,2984,,,
1_1,Sanne,01.10.2019,S2,supplement,Dia_car,ambient,7.5,0.9,2,0,open,17,single,open,,,0,,2431,,,
1_1,Valentin,01.10.2019,S2,supplement,Dia_car,ambient,10,,1,86,open,0,single,open,,,0,"broke, lost seeds",1522,1,,
1_1,Christian,02.08.2019,S2,supplement,Dia_car,ambient,14,0.8,1,81,open,4,single,open,,,0,,396,,,
1_1,Garp,02.08.2019,S2,supplement,Dia_car,ambient,14,,1,51,unripe,3,single,open,,,0,,1233,,,
1_1,Garp,04.09.2019,S2,supplement,Dia_car,ambient,10.5,1,3,60,ripe_capsule,21,single,open,,,0,,4068,,,
